category,sentiment,sentiment_label
sport,0.1637,positive
sport,0.993,positive
sport,0.8729,positive
sport,0.9975,positive
sport,-0.5336,negative
sport,0.9705,positive
sport,0.8442,positive
sport,0.995,positive
sport,0.9001,positive
sport,0.875,positive
sport,-0.9726,negative
sport,0.953,positive
sport,0.997,positive
sport,0.9337,positive
sport,0.8957,positive
sport,-0.9517,negative
sport,0.9355,positive
sport,0.3424,positive
sport,-0.872,negative
sport,0.9449,positive
sport,0.9923,positive
sport,0.9958,positive
sport,0.9803,positive
sport,0.25,positive
sport,0.9155,positive
sport,-0.9623,negative
sport,0.9959,positive
sport,0.9958,positive
sport,0.9818,positive
sport,0.5984,positive
sport,-0.9952,negative
sport,0.9957,positive
sport,0.9973,positive
sport,0.9953,positive
sport,0.996,positive
sport,0.8074,positive
sport,0.5857,positive
sport,0.6261,positive
sport,0.1351,positive
sport,0.9921,positive
sport,-0.0,neutral
sport,0.7584,positive
sport,0.8074,positive
sport,-0.8697,negative
sport,0.9875,positive
sport,0.9818,positive
sport,0.7316,positive
sport,-0.6705,negative
sport,-0.7717,negative
sport,0.8591,positive
sport,-0.9571,negative
sport,0.4393,positive
sport,0.8805,positive
sport,0.9866,positive
sport,0.9643,positive
sport,-0.9274,negative
sport,0.945,positive
sport,0.8696,positive
sport,0.9865,positive
sport,0.9876,positive
sport,-0.9788,negative
sport,-0.9719,negative
sport,0.9974,positive
sport,0.9858,positive
sport,0.9468,positive
sport,0.9709,positive
sport,0.93,positive
sport,0.969,positive
sport,-0.9887,negative
sport,0.9136,positive
sport,0.9943,positive
sport,0.9554,positive
sport,-0.9419,negative
sport,0.9987,positive
sport,-0.9517,negative
sport,0.9136,positive
sport,-0.4215,negative
sport,0.9759,positive
sport,0.9848,positive
sport,0.9001,positive
sport,0.9423,positive
sport,0.9908,positive
sport,0.998,positive
sport,-0.9854,negative
sport,0.9035,positive
sport,0.8711,positive
sport,0.965,positive
sport,0.9883,positive
sport,-0.959,negative
sport,0.9231,positive
sport,0.995,positive
sport,-0.9694,negative
sport,0.9578,positive
sport,0.9806,positive
sport,0.983,positive
sport,0.9352,positive
sport,0.9826,positive
sport,0.988,positive
sport,-0.8979,negative
sport,-0.25,negative
sport,0.7276,positive
sport,0.7528,positive
sport,0.9038,positive
sport,0.9903,positive
sport,0.93,positive
sport,0.9826,positive
sport,0.9953,positive
sport,0.9888,positive
sport,0.9924,positive
sport,0.9432,positive
sport,0.9856,positive
sport,0.9808,positive
sport,0.9633,positive
sport,0.995,positive
sport,-0.9836,negative
sport,0.9785,positive
sport,0.9732,positive
sport,0.91,positive
sport,0.9182,positive
sport,0.9313,positive
sport,0.9968,positive
sport,0.7195,positive
sport,0.9843,positive
sport,0.8983,positive
sport,-0.8173,negative
sport,0.802,positive
sport,0.9802,positive
sport,0.9562,positive
sport,0.9959,positive
sport,0.985,positive
sport,-0.9629,negative
sport,0.9744,positive
sport,0.7174,positive
sport,0.996,positive
sport,0.9816,positive
sport,0.997,positive
sport,0.9414,positive
sport,0.9963,positive
sport,0.0232,neutral
sport,0.9456,positive
sport,-0.9002,negative
sport,0.8508,positive
sport,0.9954,positive
sport,0.9912,positive
sport,0.9905,positive
sport,0.9765,positive
sport,0.9741,positive
sport,0.9626,positive
sport,0.9231,positive
